,y
0,1.3125293
1,0.30912465
2,0.62745595
3,0.44261527
4,-0.023618732
5,0.025284948
6,-0.15228279
7,-0.7783693
8,-0.10123297
9,-0.9748975
10,-0.69358563
11,-0.28955993
12,-0.8427702
13,0.16433813
14,0.017344892
15,-0.019929733
16,0.5479196
17,0.28700963
18,0.104671
19,0.7240994
20,-0.1801136
21,0.43442297
22,0.0667201
23,-0.14251174
24,0.21812418
25,-0.13691264
26,-0.44387054
27,0.35406438
28,-0.45877367
29,0.14066398
30,0.3971639
31,-0.33259296
32,0.5014844
33,-0.17595465
34,-0.1801507
35,0.062501095
36,-0.36984304
37,-0.4661224
38,-0.0013129016
39,-0.7687292
40,0.08243368
41,-0.35661334
42,-0.3410663
43,0.41670278
44,-0.043821737
45,0.5208635
46,0.9100503
47,0.41673407
48,0.800452
49,0.7107228
50,0.011372341
51,0.64707774
52,-0.35101593
53,-0.20896932
54,-0.2590224
55,-0.79197425
56,-0.6118419
57,-0.49638882
58,-1.0340197
59,-0.105650984
60,-0.5892702
61,-0.26191646
62,0.68896013
63,-0.014408783
64,0.7386846
65,0.68232644
66,0.43934432
67,0.66563565
68,0.37561396
69,-0.106204815
70,0.52080786
71,-0.39698228
72,-0.07611607
73,-0.14544405
74,-0.68592054
75,-0.18592387
76,-0.39235246
77,-0.4984319
78,0.25444394
79,-0.21932925
80,-0.08595134
81,0.43893528
82,-0.33484238
83,0.41944113
84,-0.092142105
85,-0.17965274
86,0.14432687
87,-0.17908251
88,-0.26407638
89,0.39676416
90,-0.48540026
91,0.31223136
92,0.18956085
93,-0.06941042
94,0.88044345
95,0.16023855
96,0.33316302
97,0.5498604
98,0.011116162
99,-0.05182914
100,0.064697675
101,-0.7454056
102,-0.059348937
103,-0.7934165
104,-0.6614448
105,-0.29281002
106,-0.69090873
107,-0.3722554
108,0.14643754
109,-0.3198103
110,0.7588794
111,0.60239017
112,0.35535857
